#Kegg Network https://www.kegg.jp/entry/	Kegg Pathway, https://www.kegg.jp/pathway/	Big Pathway Map Description , not the sub 619 that we intersect against
N01486	hsa04110+N01486	 Cell cycle
N01529	hsa04110+N01529	 Cell cycle
N01533	hsa04110+N01533	 Cell cycle
N01621	hsa04217+N01621	 Necroptosis
N00003	hsa05221+N00003	Acute myeloid leukemia
N00004	hsa05221+N00004	Acute myeloid leukemia
N00012	hsa05221+N00012	Acute myeloid leukemia
N00031	hsa05221+N00031	Acute myeloid leukemia
N00032	hsa05221+N00032	Acute myeloid leukemia
N00046	hsa05221+N00046	Acute myeloid leukemia
N01345	hsa04261+N01345	Adrenergic signaling in cardiomyocytes
N01347	hsa04261+N01347	Adrenergic signaling in cardiomyocytes
N00301	hsa04925+N00301	Aldosterone synthesis and secretion
N00996	hsa05010+N00996	Alzheimer disease
N00997	hsa05010+N00997	Alzheimer disease
N00999	hsa05010+N00999	Alzheimer disease
N01001	hsa05010+N01001	Alzheimer disease
N01002	hsa05010+N01002	Alzheimer disease
N01003	hsa05010+N01003	Alzheimer disease
N01004	hsa05010+N01004	Alzheimer disease
N01005	hsa05010+N01005	Alzheimer disease
N01006	hsa05010+N01006	Alzheimer disease
N01007	hsa05010+N01007	Alzheimer disease
N01008	hsa05010+N01008	Alzheimer disease
N01014	hsa05010+N01014	Alzheimer disease
N01017	hsa05010+N01017	Alzheimer disease
N01018	hsa05010+N01018	Alzheimer disease
N01060	hsa05010+N01060	Alzheimer disease
N01403	hsa05010+N01403	Alzheimer disease
N01414	hsa05010+N01414	Alzheimer disease
N00667	hsa00520+N00667	Amino sugar and nucleotide sugar metabolism
N01135	hsa05014+N01135	Amyotrophic lateral sclerosis
N01136	hsa05014+N01136	Amyotrophic lateral sclerosis
N01138	hsa05014+N01138	Amyotrophic lateral sclerosis
N01139	hsa05014+N01139	Amyotrophic lateral sclerosis
N01144	hsa05014+N01144	Amyotrophic lateral sclerosis
N01145	hsa05014+N01145	Amyotrophic lateral sclerosis
N01146	hsa05014+N01146	Amyotrophic lateral sclerosis
N01149	hsa05014+N01149	Amyotrophic lateral sclerosis
N01151	hsa05014+N01151	Amyotrophic lateral sclerosis
N01158	hsa05014+N01158	Amyotrophic lateral sclerosis
N01159	hsa05014+N01159	Amyotrophic lateral sclerosis
N01160	hsa05014+N01160	Amyotrophic lateral sclerosis
N00363	hsa04612+N00363	Antigen processing and presentation
N00590	hsa04612+N00590	Antigen processing and presentation
N00098	hsa04210+N00098	Apoptosis
N00145	hsa04210+N00145	Apoptosis
N00146	hsa04210+N00146	Apoptosis
N00984	hsa04210+N00984	Apoptosis
N01056	hsa04210+N01056	Apoptosis
N01612	hsa00330+N01612	Arginine and proline metabolism
N00593	hsa00220+N00593	Arginine biosynthesis
N00155	hsa04140+N00155	Autophagy - animal
N00156	hsa04140+N00156	Autophagy - animal
N01142	hsa04140+N01142	Autophagy - animal
N01715	hsa04140+N01715	Autophagy - animal
N01716	hsa04140+N01716	Autophagy - animal
N01718	hsa04140+N01718	Autophagy - animal
N01721	hsa04140+N01721	Autophagy - animal
N01722	hsa04140+N01722	Autophagy - animal
N00487	hsa04662+N00487	B cell receptor signaling pathway
N01695	hsa04662+N01695	B cell receptor signaling pathway
N00010	hsa05217+N00010	Basal cell carcinoma
N00017	hsa05217+N00017	Basal cell carcinoma
N00115	hsa05217+N00115	Basal cell carcinoma
N01433	hsa03410+N01433	Base excision repair
N01434	hsa03410+N01434	Base excision repair
N01435	hsa03410+N01435	Base excision repair
N01436	hsa03410+N01436	Base excision repair
N00006	hsa05219+N00006	Bladder cancer
N00011	hsa05219+N00011	Bladder cancer
N00077	hsa05219+N00077	Bladder cancer
N00115	hsa05219+N00115	Bladder cancer
N00020	hsa05224+N00020	Breast cancer
N00034	hsa05224+N00034	Breast cancer
N00038	hsa05224+N00038	Breast cancer
N00042	hsa05224+N00042	Breast cancer
N00049	hsa05224+N00049	Breast cancer
N00059	hsa05224+N00059	Breast cancer
N00060	hsa05224+N00060	Breast cancer
N00087	hsa05224+N00087	Breast cancer
N00115	hsa05224+N00115	Breast cancer
N00275	hsa05224+N00275	Breast cancer
N00023	hsa04020+N00023	Calcium signaling pathway
N00026	hsa04020+N00026	Calcium signaling pathway
N00028	hsa04020+N00028	Calcium signaling pathway
N00147	hsa04020+N00147	Calcium signaling pathway
N00227	hsa04020+N00227	Calcium signaling pathway
N00401	hsa04020+N00401	Calcium signaling pathway
N01000	hsa04020+N01000	Calcium signaling pathway
N01106	hsa04020+N01106	Calcium signaling pathway
N01637	hsa04020+N01637	Calcium signaling pathway
N01638	hsa04020+N01638	Calcium signaling pathway
N01639	hsa04020+N01639	Calcium signaling pathway
N01640	hsa04020+N01640	Calcium signaling pathway
N01641	hsa04020+N01641	Calcium signaling pathway
N01642	hsa04020+N01642	Calcium signaling pathway
N01644	hsa04020+N01644	Calcium signaling pathway
N01646	hsa04020+N01646	Calcium signaling pathway
N01647	hsa04020+N01647	Calcium signaling pathway
N01648	hsa04020+N01648	Calcium signaling pathway
N01655	hsa04020+N01655	Calcium signaling pathway
